sell_type,cust_type,prod_type,time_type,modle,dt,prediction
sell_out,all,나,W,ar,2021-02-07,13284643.496336378
sell_out,all,나,W,ar,2021-02-14,12596986.322482647
sell_out,all,라,D,ar,2021-01-01,1018924.2809547922
sell_out,all,라,D,ar,2021-01-02,1472375.305535861
sell_out,all,라,D,ar,2021-01-03,716009.9911292146
sell_out,all,라,D,ar,2021-01-04,1055447.5324691655
sell_out,all,라,D,ar,2021-01-05,1057543.6869784503
sell_out,all,라,D,ar,2021-01-06,1010842.1848308966
sell_out,all,라,W,ar,2021-01-10,3877410.24267756
sell_out,all,라,W,ar,2021-01-17,4488196.723858614
sell_out,all,라,W,ar,2021-01-24,5311629.533273958
sell_out,all,라,W,ar,2021-01-31,5110598.844382529
sell_out,all,라,W,ar,2021-02-07,5863983.320125789
sell_out,all,라,W,ar,2021-02-14,5509191.4151692055
sell_out,all,마,D,ar,2021-01-01,2229826.117961098
sell_out,all,마,D,ar,2021-01-02,3565274.3585808063
sell_out,all,마,D,ar,2021-01-03,-658734.4709466889
sell_out,all,마,D,ar,2021-01-04,936723.1412595577
sell_out,all,마,D,ar,2021-01-05,711629.5069662491
sell_out,all,마,D,ar,2021-01-06,1646075.3441921636
sell_out,all,마,W,ar,2021-01-10,5597610.203741781
sell_out,all,마,W,ar,2021-01-17,1874033.0764627163
sell_out,all,마,W,ar,2021-01-24,10770738.926925682
sell_out,all,마,W,ar,2021-01-31,12735008.22776976
sell_out,all,마,W,ar,2021-02-07,8458257.004094964
sell_out,all,마,W,ar,2021-02-14,-543903.0529841315
sell_out,all,all,D,ar,2021-01-01,21456102.677503645
sell_out,all,all,D,ar,2021-01-02,26392367.758874208
sell_out,all,all,D,ar,2021-01-03,18205294.122871198
sell_out,all,all,D,ar,2021-01-04,16327483.758849109
sell_out,all,all,D,ar,2021-01-05,17227180.328252826
sell_out,all,all,D,ar,2021-01-06,18631782.251223434
sell_out,all,all,W,ar,2021-01-10,104977001.9950774
sell_out,all,all,W,ar,2021-01-17,99449383.5307942
sell_out,all,all,W,ar,2021-01-24,110756146.5887234
sell_out,all,all,W,ar,2021-01-31,104598260.55958089
sell_out,all,all,W,ar,2021-02-07,102675633.47184657
sell_out,all,all,W,ar,2021-02-14,92244281.4186199
